Date,Building,Wall,SpiderID,Sex,SpiderLength,CephalothoraxWidth,AbdomenWidth,PreySize,PreyColor,PreyStripes,PreySpecies,TimeStart,TimeStop,TempStart,TempStop,TempUnit,Notes
6.3.2020,NA,NA,632020_Detection_03,F,5.539,1.958,2.158,Medium,Gray,Stripe,MediumGrayStriped,10:34:00,11:10:00,31.2,36.4,C,
6.3.2020,NA,NA,632020_Detection_05,F,6.218,2.194,2.519,Small,Gray,Stripe,SmallGrayStriped,10:23:00,10:38:00,29.6,NA,C,
6.3.2020,NA,NA,632020_Detection_07,F,6.306,1.778,2.631,Small,Gray,Stripe,SmallGrayStriped,10:42:00,10:54:00,30.8,NA,C,
6.3.2020,NA,NA,632020_Detection_06,F,6.532,1.873,2.573,Large,Gray,Stripe,LargeGrayStripe,10:27:00,11:07:00,30.6,31.8,C,
6.4.2020,NA,NA,642020_Detection_01,F,5.831,1.624,2.342,Large,Gray,Stripe,LargeGrayStripe,10:31:00,11:02:00,26.2,NA,C,
6.4.2020,NA,NA,642020_Detection_02,M,3.937,1.29,1.383,Medium,Gray,Stripe,MediumGrayStriped,10:34:00,10:46:00,30.2,NA,C,
6.4.2020,NA,NA,642020_Detection_03,F,7.606,1.806,2.651,Medium,Gray,Stripe,MediumGrayStriped,10:38:00,10:50:00,27.2,NA,C,
6.4.2020,NA,NA,642020_Detection_04,F,7.747,2.088,2.932,Medium,Gray,Stripe,MediumGrayStriped,10:55:00,11:15:00,28.2,NA,C,
6.4.2020,NA,NA,642020_Detection_05,M,5.981,1.66,1.929,Small,Gray,Stripe,SmallGrayStriped,10:55:00,11:12:00,27.4,NA,C,
6.4.2020,NA,NA,642020_Detection_06,J,2.786,0.865,1.022,Medium,Gray,Stripe,MediumGrayStriped,11:10:00,11:46:00,27.6,NA,C,Dropped midge when large female showed up
6.4.2020,NA,NA,642020_Detection_07,J,2.856,0.946,1.267,Small,Gray,Stripe,SmallGrayStriped,11:12:00,11:29:00,30.4,NA,C,May have caught late on start
6.4.2020,NA,NA,642020_Detection_07,J,2.856,0.946,1.267,Medium,Gray,Stripe,MediumGrayStriped,11:29:00,11:55:00,30.2,NA,C,
6.4.2020,NA,NA,642020_Detection_08,F,6.474,1.768,2.301,Medium,Gray,Stripe,MediumGrayStriped,12:55:00,13:12:00,28,NA,C,
6.4.2020,NA,NA,642020_Detection_09,J,4.203,1.154,1.617,Small,Gray,NoStripe,SmallGray,13:09:00,13:18:00,31.2,NA,C,
6.4.2020,NA,NA,642020_Detection_10,F,6.819,1.894,2.524,NA,NA,NA,LeafHopper,13:16:00,13:28:00,29.8,NA,C,
6.4.2020,NA,NA,642020_Detection_11,F,8.713,2.345,3.35,Medium,Gray,Stripe,MediumGrayStriped,13:23:00,13:33:00,31.2,NA,C,
6.4.2020,NA,NA,642020_Detection_12,F,8.457,2.131,2.998,Medium,Gray,Stripe,MediumGrayStriped,13:25:00,13:38:00,30.6,NA,C,
6.4.2020,NA,NA,642020_Detection_13,J,3.347,1.201,1.578,Medium,Gray,Stripe,MediumGrayStriped,13:27:00,13:41:00,29.4,NA,C,
6.4.2020,NA,NA,642020_Detection_14,F,6.112,1.7,2.099,Medium,Gray,Stripe,MediumGrayStriped,13:34:00,13:47:00,35,NA,C,
6.4.2020,NA,NA,642020_Detection_15,J,3.33,1.024,1.013,Small,Gray,Stripe,SmallGrayStriped,13:39:00,14:15:00,29.2,NA,C,
6.4.2020,NA,NA,642020_Detection_16,M,5.379,1.874,2.07,Medium,Gray,Stripe,MediumGrayStriped,13:46:00,14:04:00,31,NA,C,
6.4.2020,NA,NA,642020_Detection_17,F,6.142,1.757,2.627,Large,Gray,Stripe,LargeGrayStripe,13:56:00,14:28:00,29.2,NA,C,
6.4.2020,NA,NA,642020_Detection_18,F,6.912,2.028,2.786,Medium,Gray,Stripe,MediumGrayStriped,13:59:00,14:31:00,34.4,NA,C,
6.4.2020,NA,NA,642020_Detection_19,F,3.167,1.178,1.495,Medium,Gray,Stripe,MediumGrayStriped,13:59:00,14:31:00,34.4,NA,C,
6.4.2020,NA,NA,642020_Detection_21,J,3.417,1.045,1.218,Medium,Gray,Stripe,MediumGrayStriped,14:17:00,15:40:00,32.6,NA,C,
6.4.2020,NA,NA,642020_Detection_22,J,2.741,0.956,0.895,Medium,Black,Stripe,MediumBlackStriped,14:23:00,15:15:00,31.6,NA,C,
6.4.2020,NA,NA,642020_Detection_23,F,6.104,1.842,2.617,Medium,Gray,Stripe,MediumGrayStriped,14:26:00,14:36:00,32.6,NA,C,
6.4.2020,NA,NA,642020_Detection_24,F,7.521,2.116,2.857,Large,Gray,Stripe,LargeGrayStripe,14:34:00,15:13:00,29.2,NA,C,
6.4.2020,NA,NA,642020_Detection_25,F,7.1,1.97,2.838,Medium,Gray,Stripe,MediumGrayStriped,14:37:00,15:03:00,34.4,NA,C,
6.4.2020,NA,NA,642020_Detection_26,J,3.314,0.987,1.191,Medium,Gray,Stripe,MediumGrayStriped,14:37:00,15:23:00,30.6,NA,C,
6.4.2020,NA,NA,642020_Detection_27,J,3.154,0.987,1.004,Medium,Gray,Stripe,MediumGrayStriped,14:57:00,15:37:00,32.8,NA,C,
6.4.2020,NA,NA,642020_Detection_28,J,3.221,0.965,1.021,Small,Gray,NoStripe,SmallGray,15:16:00,15:39:00,31.4,NA,C,
6.6.2020,Lubber,West,662020_Lubber_West_03,J,2.684,0.975,1.234,Medium,Gray,Stripe,MediumGrayStriped,10:56:00,11:23:00,33.8,NA,C,
6.7.2020,Lubber ,SouthWest,672020_Lubber_SouthWest_01,F,7.199,1.853,2.567,Large,Gray,Stripe,LargeGrayStripe,8:58:00,9:31:00,82.4,NA,F,
6.8.2020,Swallow,North,682020_Swallow_North_08,J,3.488,1.08,1.26,Medium,Gray,Stripe,MediumGrayStriped,10:08:00,11:00:00,26.2,NA,C,
6.8.2020,NA,NA,682020_Detection_01,F,6.34,1.859,2.326,Small,Gray,NoStripe,SmallGray,12:49:00,12:53:00,28.8,NA,C,
6.8.2020,NA,NA,682020_Detection_02,F,6.422,1.824,2.488,Large,Gray,Stripe,LargeGrayStripe,13:02:00,13:50:00,26,NA,C,
6.8.2020,NA,NA,682020_Detection_03,F,5.883,1.709,2.371,Large,Gray,Stripe,LargeGrayStripe,13:30:00,14:45:00,27.6,NA,C,
6.8.2020,NA,NA,682020_Detection_05,M,5.549,1.66,1.774,Medium,Gray,Stripe,MediumGrayStriped,14:13:00,14:39:00,27.6,NA,C,
6.8.2020,NA,NA,682020_Detection_06,F,6.052,1.503,2.322,Medium,Gray,Stripe,MediumGrayStriped,14:26:00,14:54:00,26.6,NA,C,
6.8.2020,NA,NA,682020_Detection_07,F,6.005,1.964,2.292,Medium,Gray,Stripe,MediumGrayStriped,14:35:00,15:07:00,26.8,NA,C,
6.8.2020,NA,NA,682020_Detection_08,F,7.505,2.22,2.724,Medium,Gray,Stripe,MediumGrayStriped,14:45:00,15:02:00,24.6,NA,C,
6.8.2020,NA,NA,682020_Detection_09,F,5.682,1.433,2.088,Medium,Gray,Stripe,MediumGrayStriped,15:01:00,15:27:00,26.8,NA,C,
6.10.2020,Swallow,North,6102020_Swallow_North_03,J,4.561,1.34,1.8,Medium,Gray,Stripe,MediumGrayStriped,15:52:00,17:00:00,27.4,NA,C,
6.11.2020,Swallow,West,6112020_Swallow_West_05,F,6.481,1.8,2.236,Medium,Gray,Stripe,MediumGrayStriped,10:08:00,10:46:00,27.8,NA,C,
6.12.2020,Gainsforth,North,6122020_Goodall_North_01(mislabel),F,6.749,1.927,2.37,Medium,Gray,Stripe,MediumGrayStriped,12:26:00,12:58:00,30.2,NA,C,mislabeled Goodall in photograph
6.12.2020,NA,NA,6122020_Detection_01,F,7.126,1.884,3.032,Medium,Gray,Stripe,MediumGrayStriped,13:43:00,14:01:00,32,NA,C,
6.13.2020,Lubber,NorthWest,6132020_PurplePurple,F,6.39,1.463,2.188,Medium,Gray,Stripe,MediumGrayStriped,13:04:00,13:23:00,30.6,NA,C,
6.13.2020,NA,NA,6132020_Detection_01,F,7.142,1.995,2.186,Large,Gray,Stripe,LargeGrayStripe,13:56:00,14:40:00,25.6,NA,C,
6.13.2020,NA,NA,6132020_Detection_02,F,7.931,2.118,2.959,Small,Gray,NoStripe,SmallGray,13:58:00,14:14:00,26.6,NA,C,
6.13.2020,NA,NA,6132020_Detection_03,F,7.975,1.987,2.928,NA,NA,NA,JuvenileZebra,14:11:00,14:30:00,27.8,NA,C,
6.13.2020,NA,NA,6132020_Detection_04,F,7.727,1.733,2.718,Small,Gray,NoStripe,SmallGray,14:37:00,14:57:00,26.2,NA,C,
6.15.2021,NA,NA,6152021_Detection_01,F,6.354,1.787,2.157,Small,NA,NA,Small,7:58:00,8:05:00,22.6,NA,C,
6.15.2021,NA,NA,6152021_Detection_02,F,3.7,1.284,1.451,Small,NA,NA,Small,8:05:00,8:12:00,24,NA,C,
6.15.2021,NA,NA,6152021_Detection_04,F,6.797,1.659,2.737,Small,NA,NA,Small,8:12:00,8:27:00,23.4,NA,C,
6.15.2021,NA,NA,6152021_Detection_06,F,6.718,1.874,2.309,Medium,NA,NA,Medium,8:27:00,8:56:00,23.8,NA,C,
6.15.2021,NA,NA,6152021_Detection_07,F,7.293,1.936,2.415,Medium,NA,NA,Medium,8:33:00,8:50:00,23.6,NA,C,
6.15.2021,NA,NA,6152021_Detection_09,M,5.707,1.724,1.728,Small,NA,NA,Small,8:56:00,9:10:00,24,NA,C,
6.15.2021,NA,NA,6152021_Detection_11,F,5.882,1.597,2.07,Small,NA,NA,Small,10:11:00,10:26:00,27.6,NA,C,
6.15.2021,NA,NA,6152021_Detection_12,F,6.529,1.943,2.51,Small,NA,NA,Medium,10:16:00,10:52:00,27.6,NA,C,
6.15.2021,NA,NA,6152021_Detection_13,M,5.402,1.589,1.875,Small,NA,NA,Small,10:36:00,10:48:00,30.2,NA,C,mislabeled 12 in photograph
6.15.2021,NA,NA,6152021_Detection_14,F,6.49,1.863,2.207,Small,NA,NA,Small,13:26:00,13:32:00,48.3,NA,C,
6.15.2021,NA,NA,6152021_Detection_15,F,5.836,1.552,2.19,Small,NA,NA,Small,13:37:00,13:49:00,38.8,NA,C,
6.15.2021,NA,NA,6152021_Detection_16,F,6.951,1.568,2.31,Medium,NA,NA,Medium,14:04:00,14:15:00,42,NA,C,
6.16.2021,NA,NA,6162021_Detection_02,F,7.061,1.565,2.35,Large,NA,NA,Large,7:56:00,8:54:00,24,NA,C,
6.16.2021,NA,NA,6162021_Detection_03,J,4.956,1.235,1.574,Medium,NA,NA,Medium,8:20:00,8:36:00,24.4,NA,C,
6.16.2021,NA,NA,6162021_Detection_04,F,7.603,1.831,2.746,Medium,NA,NA,Medium,8:17:00,8:48:00,24.6,NA,C,
6.16.2021,NA,NA,6162021_Detection_05,M,4.423,1.242,1.56,Medium,NA,NA,Medium,8:34:00,9:01:00,24.4,NA,C,
6.16.2021,NA,NA,6162021_Detection_06,F,4.563,1.377,1.911,Small,NA,NA,Small,8:48:00,9:11:00,24.3,NA,C,
6.16.2021,NA,NA,6162021_Detection_07,M,6.03,2.056,2.242,Small,NA,NA,Small,9:47:00,9:56:00,42,NA,C,
6.16.2021,NA,NA,6162021_Detection_08,F,6.825,1.696,2.41,Small,NA,NA,Small,9:51:00,10:01:00,44,NA,C,
6.16.2021,NA,NA,6162021_Detection_09,F,6.552,1.635,2.418,Small,NA,NA,Small,10:11:00,10:35:00,27.4,NA,C,
6.16.2021,NA,NA,6162021_Detection_10,J,4.837,1.36,1.626,Small,NA,NA,Small,10:23:00,10:28:00,27.4,NA,C,
6.17.2021,NA,NA,6172021_Detection_01,F,6.675,1.588,2.315,Large,NA,NA,Large,6:11:00,6:53:00,24.2,NA,C,
6.17.2021,NA,NA,6172021_Detection_02,F,6.991,1.745,2.675,Large,NA,NA,Large,6:12:00,6:55:00,24.2,NA,C,
6.17.2021,NA,NA,6172021_Detection_03,F,7.473,1.972,2.739,Large,NA,NA,Large,6:27:00,7:29:00,23.8,NA,C,
6.17.2021,NA,NA,6172021_Detection_04,F,6.254,1.785,2.188,Medium,NA,NA,Medium,6:39:00,7:03:00,24,NA,C,
6.17.2021,NA,NA,6172021_Detection_05,F,6.748,1.788,2.572,Medium,NA,NA,Medium,6:45:00,7:05:00,24.6,NA,C,
6.17.2021,NA,NA,6172021_Detection_06,M,5.274,1.482,1.822,Medium,NA,NA,Medium,8:15:00,8:42:00,34.6,NA,C,
6.17.2021,NA,NA,6172021_Detection_07,M,5.368,1.513,1.948,Medium,NA,NA,Medium,8:32:00,8:49:00,37,NA,C,
6.17.2021,NA,NA,6172021_Detection_08,M,4.745,1.388,1.535,Small,NA,NA,Small,8:53:00,9:02:00,39.6,NA,C,
6.17.2021,NA,NA,6172021_Detection_09,F,5.888,1.27,2.179,Small,NA,NA,Small,9:34:00,9:50:00,24.6,NA,C,
6.17.2021,NA,NA,6172021_Detection_11,J,4.278,1.106,1.764,Medium,NA,NA,Medium,10:21:00,10:51:00,47.4,NA,C,
6.18.2021,NA,NA,6182021_Detection_01,M,5.283,1.574,1.81,Large,NA,NA,Large,6:12:00,6:52:00,23,NA,C,
6.18.2021,NA,NA,6182021_Detection_02,F,6.481,1.602,2.284,Large,NA,NA,Large,7:55:00,9:10:00,32.6,NA,C,
6.18.2021,NA,NA,6182021_Detection_03,F,6.822,1.9,2.329,Medium,NA,NA,Medium,8:11:00,8:42:00,29,NA,C,
6.18.2021,NA,NA,6182021_Detection_04,M,3.856,1.185,1.407,Medium,NA,NA,Medium,8:10:00,8:38:00,24.2,NA,C,
6.18.2021,NA,NA,6182021_Detection_05,M,5.532,1.384,1.596,Medium,NA,NA,Medium,8:24:00,8:34:00,24.6,NA,C,
6.18.2021,NA,NA,6182021_Detection_06,F,6.043,1.469,2.393,Large,NA,NA,Large,9:38:00,10:41:00,37.4,NA,C,
6.18.2021,NA,NA,6182021_Detection_07,F,5.746,1.651,2.075,Large,NA,NA,Large,9:42:00,10:16:00,35.3,NA,C,
6.18.2021,NA,NA,6182021_Detection_08,F,5.667,1.624,2.33,Medium,NA,NA,Medium,10:01:00,10:22:00,30.4,NA,C,
6.18.2021,NA,NA,6182021_Detection_09,F,5.778,1.582,2.046,Medium,NA,NA,Medium,10:04:00,10:20:00,33.5,NA,C,
6.18.2021,NA,NA,6182021_Detection_10,F,6.308,1.61,2.547,Large,NA,NA,Large,10:19:00,10:48:00,38.9,NA,C,
