"","SurveyCode","Date","Building","Wall","NumberFeed","NumberPred","ProportionFeed","SpiderLength","ZebraMale","ZebraFemale","ZebraJuvenile","Bold","Unknown","Tan","BHLB","TotalOtherSpider","TempStart","BuildingWall","TotalArea_m2","X","detection_est","DetectionEst","NumberMidges","TotalSpiderFeed","JuvenileDens","FemaleDens","MaleDens"
"11","5.31TBNAM",5.31,"TB","N",2,2,1,3.0605,5,6,2,0,0,0,0,0,34.3888888888889,"TBN",16.56,11,0.0239912096265986,0.0239912096265986,0.905797101449275,6,0.120772946859903,0.36231884057971,0.301932367149758
"12","6.10LUNEPM",6.1,"LU","NE",2,2,1,4.224,0,1,2,0,0,0,0,0,24.7,"LUNE",14.7,12,0.0256142601580021,0.0256142601580021,1.22448979591837,3,0.136054421768707,0.0680272108843537,0
"13","6.10SBNPM",6.1,"SB","N",3,3,1,4.10366666666667,1,0,3,0,0,0,0,0,27.5,"SBN",10.85,13,0.0216372884636868,0.0216372884636868,1.29032258064516,4,0.276497695852535,0,0.0921658986175115
"14","6.11GFNAM",6.11,"GF","N",2,3,0.666666666666667,3.429,1,5,3,0,0,0,0,0,20.2,"GFN",13.1,14,0.0357917184376688,0.0357917184376688,1.75572519083969,6,0.229007633587786,0.381679389312977,0.0763358778625954
"15","6.11LUWPM",6.11,"LU","W",2,2,1,3.2965,3,1,2,0,0,0,0,0,27.8,"LUW",20.53,15,0.031034498388484,0.031034498388484,0.779347296639065,3,0.0974184120798831,0.0487092060399415,0.146127618119825
"16","6.11SBNPM",6.11,"SB","N",1,1,1,4.489,0,2,1,0,0,0,0,0,28.2,"SBN",10.85,16,0.0199240338866674,0.0199240338866674,0.829493087557604,1,0.0921658986175115,0.184331797235023,0
"17","6.11SBWAM",6.11,"SB","W",1,2,0.5,3.952,1,2,2,0,0,0,0,0,25.6,"SBW",12.65,17,0.023888914065563,0.023888914065563,1.81818181818182,2,0.158102766798419,0.158102766798419,0.0790513833992095
"18","6.11TBNAM",6.11,"TB","N",0,1,0,3.321,1,9,1,0.0603864734299517,0,0,0,0.0603864734299517,24.9,"TBN",16.56,18,0.0264710870042318,0.0264710870042318,0.422705314009662,1,0.0603864734299517,0.543478260869565,0.0603864734299517
"19","6.12DHNWAM",6.12,"DH","NW",0,1,0,4.461,0,1,1,0,0.077639751552795,0,0,0.077639751552795,27.6,"DHNW",12.88,19,0.0214444274857898,0.0214444274857898,2.17391304347826,1,0.077639751552795,0.077639751552795,0
"20","6.12GFNPM",6.12,"GF","N",2,2,1,4.1345,1,1,2,0,0.0763358778625954,0,0,0.0763358778625954,26.8,"GFN",13.1,20,0.0207228376769374,0.0207228376769374,1.14503816793893,3,0.152671755725191,0.0763358778625954,0.0763358778625954
"21","6.12GLNPM",6.12,"GL","N",1,1,1,3.8,1,1,1,0,0,0.133155792276964,0,0.133155792276964,25.2,"GLN",22.53,21,0.028576584808936,0.028576584808936,0.66577896138482,2,0.0443852640923213,0.0443852640923213,0.0443852640923213
"22","6.12LUNWAM",6.12,"LU","NW",0,1,0,3.79401648148148,1,3,1,0,0,0,0,0,30.7,"LUNW",14.7,22,0.0214699133171921,0.0214699133171921,3.06122448979592,3,0.0680272108843537,0.204081632653061,0.0680272108843537
"23","6.12LUWAM",6.12,"LU","W",0,1,0,3.827,4,4,1,0,0,0,0,0,25.3,"LUW",20.53,23,0.0277017700531468,0.0277017700531468,1.36385776911836,1,0.0487092060399415,0.194836824159766,0.194836824159766
"24","6.12TBNAM",6.12,"TB","N",0,1,0,3.306,7,7,1,0,0,0,0,0,33.3,"TBN",16.56,24,0.0212710430407992,0.0212710430407992,0.422705314009662,3,0.0603864734299517,0.422705314009662,0.422705314009662
"25","6.12TBNPM",6.12,"TB","N",3,6,0.5,4.02466666666667,1,9,6,0,0,0,0.0603864734299517,0.0603864734299517,29.9,"TBN",16.56,25,0.0222597325959885,0.0222597325959885,1.44927536231884,6,0.36231884057971,0.543478260869565,0.0603864734299517
"26","6.13LUNWAM",6.13,"LU","NW",1,1,1,3.495,0,3,1,0,0.0680272108843537,0,0,0.0680272108843537,27.5,"LUNW",14.7,26,0.0252077429807702,0.0252077429807702,3.6734693877551,2,0.0680272108843537,0.204081632653061,0
"27","6.13TBNAM",6.13,"TB","N",0,1,0,3.624,4,7,1,0,0,0.0603864734299517,0,0.0603864734299517,29.9,"TBN",16.56,27,0.01998437274826,0.01998437274826,1.02657004830918,2,0.0603864734299517,0.422705314009662,0.241545893719807
"28","6.14GFNAM",6.14,"GF","N",0,4,0,4.49325,1,9,4,0,0,0.0763358778625954,0.0763358778625954,0.152671755725191,26,"GFN",13.1,28,0.0250288420119206,0.0250288420119206,0.381679389312977,2,0.305343511450382,0.687022900763359,0.0763358778625954
"29","6.14GLNAM",6.14,"GL","N",0,3,0,3.52933333333333,4,7,3,0,0,0.221926320461607,0,0.221926320461607,24.7,"GLN",22.53,29,0.043694512386698,0.043694512386698,0.177541056369285,3,0.133155792276964,0.310696848646249,0.177541056369285
"30","6.14LUWAM",6.14,"LU","W",0,1,0,3.289,0,3,1,0,0,0,0,0,27.2,"LUW",20.53,30,0.026626888664632,0.026626888664632,0.194836824159766,0,0.0487092060399415,0.146127618119825,0
"31","6.14SBWAM",6.14,"SB","W",0,1,0,4.069,0,1,1,0,0,0,0,0,33.4,"SBW",12.65,31,0.0138212660114846,0.0138212660114846,0.158102766798419,0,0.0790513833992095,0.0790513833992095,0
"32","6.1DHNWAM",6.1,"DH","NW",0,2,0,2.916,0,3,2,0,0.15527950310559,0,0,0.15527950310559,27.7777777777778,"DHNW",12.88,32,0.022621743216725,0.022621743216725,6.67701863354037,3,0.15527950310559,0.232919254658385,0
"33","6.1GFNAM",6.1,"GF","N",0,1,0,3.547,1,7,1,0,0.229007633587786,0.152671755725191,0,0.381679389312977,25.7777777777778,"GFN",13.1,33,0.0275384799983962,0.0275384799983962,1.06870229007634,5,0.0763358778625954,0.534351145038168,0.0763358778625954
"34","6.1GLNAM",6.1,"GL","N",0,2,0,4.169,3,9,2,0.0443852640923213,0,0.177541056369285,0,0.221926320461607,23.3333333333333,"GLN",22.53,34,0.03256445006817,0.03256445006817,0.932090545938748,7,0.0887705281846427,0.399467376830892,0.133155792276964
"35","6.1LUEAM",6.1,"LU","E",3,3,1,3.45166666666667,3,4,3,0,0,0,0,0,38.9444444444444,"LUE",19.94,35,0.0171424805142537,0.0171424805142537,0.752256770310933,4,0.150451354062187,0.200601805416249,0.150451354062187
"36","6.1LUNEAM",6.1,"LU","NE",0,1,0,3.375,3,1,1,0,0,0,0,0,31.5,"LUNE",14.7,36,0.0240526645115901,0.0240526645115901,2.17687074829932,1,0.0680272108843537,0.0680272108843537,0.204081632653061
"37","6.1LUWAM",6.1,"LU","W",1,2,0.5,3.263,3,3,2,0,0,0,0,0,24.4444444444444,"LUW",20.53,37,0.0309066793698195,0.0309066793698195,1.46127618119825,4,0.0974184120798831,0.146127618119825,0.146127618119825
"38","6.1SBNAM",6.1,"SB","N",0,2,0,5.192,2,6,2,0,0,0,0,0,27.1111111111111,"SBN",10.85,38,0.0168283125713837,0.0168283125713837,1.38248847926267,4,0.184331797235023,0.552995391705069,0.184331797235023
"39","6.1TBNAM",6.1,"TB","N",1,1,1,4.631,6,6,1,0,0.0603864734299517,0,0,0.0603864734299517,27.6111111111111,"TBN",16.56,39,0.0171328811587316,0.0171328811587316,1.26811594202899,7,0.0603864734299517,0.36231884057971,0.36231884057971
"40","6.2GLNAMa",6.2,"GL","N",0,1,0,4.803,3,6,1,0,0.133155792276964,0.0887705281846427,0,0.221926320461607,27.3,"GLN",22.53,40,0.0165371179753696,0.0165371179753696,0.221926320461607,2,0.0443852640923213,0.266311584553928,0.133155792276964
"41","6.2LUEAM",6.2,"LU","E",1,2,0.5,3.7175,0,5,2,0,0,0,0,0,37.1111111111111,"LUE",19.94,41,0.0170073341912658,0.0170073341912658,0.100300902708124,1,0.100300902708124,0.250752256770311,0
"42","6.2LUNEAM",6.2,"LU","NE",0,2,0,3.4785,3,1,2,0,0,0,0,0,33.7,"LUNE",14.7,42,0.0216035687048944,0.0216035687048944,0.748299319727891,0,0.136054421768707,0.0680272108843537,0.204081632653061
"43","6.2LUNWAM",6.2,"LU","NW",0,2,0,3.461,1,2,2,0,0,0,0,0,32.6666666666667,"LUNW",14.7,43,0.0197773651132372,0.0197773651132372,0.340136054421769,0,0.136054421768707,0.136054421768707,0.0680272108843537
"44","6.2TBNAM",6.2,"TB","N",1,2,0.5,3.595,5,11,2,0.120772946859903,0,0,0.0603864734299517,0.181159420289855,33.9,"TBN",16.56,44,0.0279238402036101,0.0279238402036101,0.483091787439614,2,0.120772946859903,0.664251207729469,0.301932367149758
"45","6.3DHNWAM",6.3,"DH","NW",0,2,0,3.614,4,4,2,0,0.15527950310559,0,0,0.15527950310559,28.6666666666667,"DHNW",12.88,45,0.0211250787729095,0.0211250787729095,5.59006211180124,3,0.15527950310559,0.31055900621118,0.31055900621118
"46","6.3GFNAM",6.3,"GF","N",1,1,1,3.308,4,6,1,0,0.229007633587786,0.0763358778625954,0,0.305343511450382,23.8,"GFN",13.1,46,0.04158975441406,0.04158975441406,0.687022900763359,5,0.0763358778625954,0.458015267175573,0.305343511450382
"47","6.3GFNPM",6.3,"GF","N",0,1,0,2.634,0,7,1,0.0763358778625954,0.0763358778625954,0.0763358778625954,0,0.229007633587786,32.4,"GFN",13.1,47,0.0348452509845699,0.0348452509845699,0.381679389312977,2,0.0763358778625954,0.534351145038168,0
"48","6.3GFSAM",6.3,"GF","S",1,3,0.333333333333333,3.991,0,2,3,0,0,0.0406669377795852,0,0.0406669377795852,37.0555555555556,"GFS",24.59,48,0.0142527424702694,0.0142527424702694,0.284668564457096,1,0.122000813338756,0.0813338755591704,0
"49","6.3GLNAM",6.3,"GL","N",0,1,0,5.426,0,5,1,0,0.0443852640923213,0.0443852640923213,0,0.0887705281846427,20.8,"GLN",22.53,49,0.0257310133364491,0.0257310133364491,1.02086107412339,4,0.0443852640923213,0.221926320461607,0
"50","6.3GLNPM",6.3,"GL","N",0,1,0,4.189,0,7,1,0,0,0.0887705281846427,0,0.0887705281846427,30.6,"GLN",22.53,50,0.0200403587994457,0.0200403587994457,0.577008433200177,3,0.0443852640923213,0.310696848646249,0
"51","6.3LUEAM",6.3,"LU","E",1,2,0.5,3.323,0,2,2,0,0,0,0,0,31.7222222222222,"LUE",19.94,51,0.0287149841989552,0.0287149841989552,0.45135406218656,2,0.100300902708124,0.100300902708124,0
"52","6.3LUNEAM",6.3,"LU","NE",1,2,0.5,3.3985,4,6,2,0,0.0680272108843537,0,0,0.0680272108843537,26.3888888888889,"LUNE",14.7,52,0.0236611884857415,0.0236611884857415,2.10884353741497,5,0.136054421768707,0.408163265306122,0.272108843537415
"53","6.3LUNWAM",6.3,"LU","NW",0,1,0,3.758,1,3,1,0,0.0680272108843537,0,0,0.0680272108843537,26.2222222222222,"LUNW",14.7,53,0.0222859002176719,0.0222859002176719,1.70068027210884,2,0.0680272108843537,0.204081632653061,0.0680272108843537
"54","6.3TBNAM",6.3,"TB","N",0,1,0,3.76,4,9,1,0,0.0603864734299517,0,0,0.0603864734299517,30.4,"TBN",16.56,54,0.0215548314322202,0.0215548314322202,0.543478260869565,1,0.0603864734299517,0.543478260869565,0.241545893719807
"55","6.3TBNPM",6.3,"TB","N",1,1,1,3.372,5,2,1,0,0,0,0,0,34.7,"TBN",16.56,55,0.0187431740880619,0.0187431740880619,0.905797101449275,1,0.0603864734299517,0.120772946859903,0.301932367149758
"56","6.4GFNAM",6.4,"GF","N",0,1,0,3.632,4,3,1,0,0.229007633587786,0.0763358778625954,0,0.305343511450382,25.1,"GFN",13.1,56,0.0349127634003368,0.0349127634003368,0.534351145038168,3,0.0763358778625954,0.229007633587786,0.305343511450382
"57","6.4LUEAM",6.4,"LU","E",0,1,0,3.071,3,3,1,0,0,0,0,0,40.5555555555556,"LUE",19.94,57,0.0220612822341726,0.0220612822341726,0.401203610832497,0,0.0501504513540622,0.150451354062187,0.150451354062187
"58","6.4LUNEAM",6.4,"LU","NE",4,5,0.8,3.379,2,6,5,0,0,0,0,0,25.8,"LUNE",14.7,58,0.0285469815164944,0.0285469815164944,3.33333333333333,9,0.340136054421769,0.408163265306122,0.136054421768707
"59","6.4LUNWAM",6.4,"LU","NW",0,1,0,4.235,2,2,1,0,0,0,0,0,26.1666666666667,"LUNW",14.7,59,0.0241653254977662,0.0241653254977662,2.10884353741497,3,0.0680272108843537,0.136054421768707,0.136054421768707
"60","6.4LUSEAM",6.4,"LU","SE",1,1,1,4.369,0,2,1,0,0,0,0,0,28.8888888888889,"LUSE",15.9,60,0.018803284784181,0.018803284784181,0.943396226415094,1,0.0628930817610063,0.125786163522013,0
"61","6.4LUSWAM",6.4,"LU","SW",1,1,1,4.792,1,4,1,0,0,0,0,0,28.7,"LUSW",15.9,61,0.0177263154146138,0.0177263154146138,1.0062893081761,3,0.0628930817610063,0.251572327044025,0.0628930817610063
"62","6.4SBNAM",6.4,"SB","N",0,1,0,3.492,1,2,1,0,0,0,0,0,26.1111111111111,"SBN",10.85,62,0.027027750219123,0.027027750219123,0.645161290322581,2,0.0921658986175115,0.184331797235023,0.0921658986175115
"63","6.4SBWAM",6.4,"SB","W",1,1,1,3.901,3,1,1,0,0,0,0,0,27.4,"SBW",12.65,63,0.0219411094117829,0.0219411094117829,1.97628458498024,2,0.0790513833992095,0.0790513833992095,0.237154150197628
"64","6.4TBNAM",6.4,"TB","N",1,1,1,3.806,5,7,1,0,0.0603864734299517,0,0,0.0603864734299517,28.6,"TBN",16.56,64,0.0213382483064092,0.0213382483064092,0.36231884057971,2,0.0603864734299517,0.422705314009662,0.301932367149758
"65","6.5DHNWAM",6.5,"DH","NW",0,1,0,3.79401648148148,2,4,1,0,0,0,0,0,30.1,"DHNW",12.88,65,0.0202731145393071,0.0202731145393071,5.12422360248447,1,0.077639751552795,0.31055900621118,0.15527950310559
"66","6.5GLNPM",6.5,"GL","N",0,1,0,3.79401648148148,2,4,1,0,0,0.310696848646249,0,0.310696848646249,25.2,"GLN",22.53,66,0.0289848540623898,0.0289848540623898,0.754549489569463,5,0.0443852640923213,0.177541056369285,0.0887705281846427
"67","6.5LUEAM",6.5,"LU","E",0,3,0,3.896,0,5,3,0,0,0,0,0,44.1666666666667,"LUE",19.94,67,0.0143628955199314,0.0143628955199314,0.250752256770311,2,0.150451354062187,0.250752256770311,0
"68","6.5LUNEAM",6.5,"LU","NE",0,2,0,3.417,0,1,2,0,0,0,0,0,26.3333333333333,"LUNE",14.7,68,0.0269245459068797,0.0269245459068797,1.70068027210884,0,0.136054421768707,0.0680272108843537,0
"69","6.5LUNEPM",6.5,"LU","NE",0,1,0,3.915,2,1,1,0,0,0,0,0,30.2,"LUNE",14.7,69,0.0207834479911781,0.0207834479911781,2.24489795918367,0,0.0680272108843537,0.0680272108843537,0.136054421768707
"70","6.5LUNWAM",6.5,"LU","NW",1,2,0.5,4.141,5,1,2,0,0,0,0.0680272108843537,0.0680272108843537,24.8888888888889,"LUNW",14.7,70,0.0230909478873489,0.0230909478873489,6.87074829931973,2,0.136054421768707,0.0680272108843537,0.340136054421769
"71","6.5LUSEAM",6.5,"LU","SE",1,1,1,4.838,2,2,1,0,0,0,0,0,28.9444444444444,"LUSE",15.9,71,0.0160827199183988,0.0160827199183988,0.943396226415094,2,0.0628930817610063,0.125786163522013,0.125786163522013
"72","6.5LUSWAM",6.5,"LU","SW",2,2,1,4.775,1,1,2,0,0,0,0.0628930817610063,0.0628930817610063,28,"LUSW",15.9,72,0.0233456885056368,0.0233456885056368,2.0125786163522,4,0.125786163522013,0.0628930817610063,0.0628930817610063
"73","6.5SBNAM",6.5,"SB","N",1,1,1,3.816,4,5,1,0,0,0,0,0,25,"SBN",10.85,73,0.0230031156357161,0.0230031156357161,1.5668202764977,3,0.0921658986175115,0.460829493087558,0.368663594470046
"74","6.5TBNAM",6.5,"TB","N",1,2,0.5,4.0375,7,11,2,0,0,0,0,0,28.8,"TBN",16.56,74,0.0240359943612399,0.0240359943612399,1.57004830917874,7,0.120772946859903,0.664251207729469,0.422705314009662
"75","6.5TBNPM",6.5,"TB","N",0,1,0,2.917,5,7,1,0,0,0,0,0,30.4,"TBN",16.56,75,0.0333298639530954,0.0333298639530954,1.44927536231884,0,0.0603864734299517,0.422705314009662,0.301932367149758
"76","6.6DHNWAM",6.6,"DH","NW",0,1,0,3.833,2,2,1,0,0,0,0,0,34.2,"DHNW",12.88,76,0.0165428281022697,0.0165428281022697,0.31055900621118,0,0.077639751552795,0.15527950310559,0.15527950310559
"77","6.6GLNAM",6.6,"GL","N",1,3,0.333333333333333,3.062,0,9,3,0,0.177541056369285,0.177541056369285,0,0.355082112738571,30.7,"GLN",22.53,77,0.0247039627729822,0.0247039627729822,1.19840213049268,7,0.133155792276964,0.399467376830892,0
"78","6.6GLNPM",6.6,"GL","N",1,3,0.333333333333333,4.3225,4,5,3,0,0,0.310696848646249,0,0.310696848646249,36.1,"GLN",22.53,78,0.0261752377682519,0.0261752377682519,0.399467376830892,6,0.133155792276964,0.221926320461607,0.177541056369285
"79","6.6LUNEAM",6.6,"LU","NE",0,1,0,4.062,2,3,1,0.0680272108843537,0,0,0,0.0680272108843537,35.3333333333333,"LUNE",14.7,79,0.0209221046500935,0.0209221046500935,0.952380952380952,3,0.0680272108843537,0.204081632653061,0.136054421768707
"80","6.6LUNWAM",6.6,"LU","NW",0,1,0,2.919,1,5,1,0,0,0,0,0,33.2,"LUNW",14.7,80,0.030585929790131,0.030585929790131,1.29251700680272,3,0.0680272108843537,0.340136054421769,0.0680272108843537
"81","6.6LUWAM",6.6,"LU","W",0,3,0,3.63766666666667,2,1,3,0,0,0,0,0,32.6666666666667,"LUW",20.53,81,0.0277393085693811,0.0277393085693811,0.925474914758889,0,0.146127618119825,0.0487092060399415,0.0974184120798831
"82","6.6SBNAM",6.6,"SB","N",0,1,0,4.252,1,3,1,0,0,0,0,0,37.7,"SBN",10.85,82,0.0188951398984488,0.0188951398984488,0.645161290322581,2,0.0921658986175115,0.276497695852535,0.0921658986175115
"83","6.6TBNPM",6.6,"TB","N",0,3,0,3.791,6,6,3,0,0,0,0,0,39.6,"TBN",16.56,83,0.0178528736913981,0.0178528736913981,0.36231884057971,2,0.181159420289855,0.36231884057971,0.36231884057971
"84","6.7GFNAM",6.7,"GF","N",0,2,0,3.0955,1,6,2,0,0.229007633587786,0.0763358778625954,0,0.305343511450382,30.6,"GFN",13.1,84,0.0127350388859563,0.0127350388859563,0.152671755725191,0,0.152671755725191,0.458015267175573,0.0763358778625954
"85","6.7LUNEAM",6.7,"LU","NE",0,1,0,3.79401648148148,6,1,1,0,0,0,0,0,29.3888888888889,"LUNE",14.7,85,0.0445573212058241,0.0445573212058241,0.204081632653061,0,0.0680272108843537,0.0680272108843537,0.408163265306122
"86","6.7LUNWAM",6.7,"LU","NW",1,5,0.2,3.4208,3,7,5,0,0,0,0,0,31.3,"LUNW",14.7,86,0.0298661815006642,0.0298661815006642,0.204081632653061,2,0.340136054421769,0.476190476190476,0.204081632653061
"87","6.7SBNAM",6.7,"SB","N",0,2,0,3.143,1,9,2,0,0,0,0,0,31.6,"SBN",10.85,87,0.0406245051980639,0.0406245051980639,0.460829493087558,4,0.184331797235023,0.829493087557604,0.0921658986175115
"88","6.7TBNAM",6.7,"TB","N",0,2,0,3.57,6,9,2,0,0,0,0.0603864734299517,0.0603864734299517,33.1,"TBN",16.56,88,0.0157692546781602,0.0157692546781602,0.241545893719807,2,0.120772946859903,0.543478260869565,0.36231884057971
"89","6.8GLNAM",6.8,"GL","N",3,3,1,3.603,1,5,3,0,0.488237905015535,0.221926320461607,0,0.710164225477142,23.5,"GLN",22.53,89,0.0221763471791165,0.0221763471791165,0.97647581003107,14,0.133155792276964,0.221926320461607,0.0443852640923213
"90","6.8KFNAM",6.8,"KF","N",0,2,0,4.368,0,5,2,0,0,0,0,0,23.2,"KFN",17.33,90,0.0232478908122341,0.0232478908122341,0.115406809001731,1,0.115406809001731,0.288517022504328,0
"91","6.8LUEAM",6.8,"LU","E",3,5,0.6,4.1426,2,3,5,0,0.0501504513540622,0,0,0.0501504513540622,44.7222222222222,"LUE",19.94,91,0.0225588423684115,0.0225588423684115,0.45135406218656,6,0.250752256770311,0.150451354062187,0.100300902708124
"92","6.8LUNEAM",6.8,"LU","NE",1,2,0.5,4.0055,2,4,2,0,0,0,0,0,21.6111111111111,"LUNE",14.7,92,0.0249226164594496,0.0249226164594496,0.408163265306122,2,0.136054421768707,0.272108843537415,0.136054421768707
"93","6.8LUNWAM",6.8,"LU","NW",0,2,0,3.705,1,5,2,0,0,0,0,0,20.2777777777778,"LUNW",14.7,93,0.0273341624369817,0.0273341624369817,0.272108843537415,1,0.136054421768707,0.340136054421769,0.0680272108843537
"94","6.8LUSWAM",6.8,"LU","SW",0,1,0,4.278,1,3,1,0,0,0.0628930817610063,0.0628930817610063,0.125786163522013,29.1111111111111,"LUSW",15.9,94,0.018026841753139,0.018026841753139,2.26415094339623,4,0.0628930817610063,0.188679245283019,0.0628930817610063
"95","6.8SBNAM",6.8,"SB","N",0,3,0,4.11733333333333,3,3,3,0,0,0,0,0,26.2,"SBN",10.85,95,0.0213114144314575,0.0213114144314575,0.184331797235023,0,0.276497695852535,0.276497695852535,0.276497695852535
"96","6.8TBNAM",6.8,"TB","N",0,2,0,5.1435,5,11,2,0,0,0,0.0603864734299517,0.0603864734299517,30.1,"TBN",16.56,96,0.0171550724077732,0.0171550724077732,0.483091787439614,4,0.120772946859903,0.664251207729469,0.301932367149758
